non_rep_region,Chr1_12182672to12182837_rep,Chr1_14238921to14239123_rep,Chr1_2016002to2016172_rep,Chr1_2091099to2091248_rep,Chr1_23322609to23322806_rep,Chr1_23894440to23894587_rep,Chr1_24100765to24100954_rep,Chr1_28271859to28272029_rep,Chr1_3066055to3066202_rep,Chr1_5204225to5204423_rep,Chr1_5765791to5765959_rep,Chr1_5836502to5836677_rep,Chr1_64068to64219_rep,Chr1_6790140to6790299_rep,Chr1_9330907to9331063_rep,Chr2_10545616to10545792_rep,Chr2_12712864to12713105_rep,Chr2_12882948to12883095_rep,Chr2_13638683to13638830_rep,Chr2_15370733to15370908_rep,Chr2_15447691to15447860_rep,Chr2_290127to290309_rep,Chr2_3301964to3302121_rep,Chr2_3323404to3323556_rep,Chr2_3489441to3489610_rep,Chr2_55050to55251_rep,Chr2_6356020to6356173_rep,Chr2_7347236to7347435_rep,Chr2_758623to758877_rep,Chr2_8165695to8166006_rep,Chr2_9149568to9149729_rep,Chr3_13632988to13633232_rep,Chr3_195224to195407_rep,Chr3_19903000to19903156_rep,Chr3_21215530to21215737_rep,Chr3_21525499to21525646_rep,Chr3_21803123to21803405_rep,Chr3_23239291to23239493_rep,Chr3_600681to600828_rep,Chr3_9179031to9179270_rep,Chr3_9995992to9996182_rep,Chr4_10131979to10132148_rep,Chr4_14043269to14043513_rep,Chr4_15466532to15466707_rep,Chr4_16832443to16832607_rep,Chr4_17047495to17047651_rep,Chr4_3059742to3059990_rep,Chr4_3655478to3655846_rep,Chr4_4006156to4006351_rep,Chr4_4825212to4825364_rep,Chr5_12873812to12873964_rep,Chr5_15295768to15295949_rep,Chr5_18069842to18070023_rep,Chr5_20892029to20892263_rep,Chr5_21768615to21768763_rep,Chr5_22566190to22566463_rep,Chr5_23719504to23719705_rep,Chr5_24211461to24211669_rep,Chr5_26352081to26352243_rep,Chr5_26415421to26415580_rep,Chr5_26899591to26899836_rep,Chr5_2941514to2941751_rep,Chr5_5543607to5543846_rep,Chr5_5820873to5821025_rep,Chr5_8867626to8867833_rep,Chr5_9038209to9038356_rep,acr_label
Chr1_1000145to1000292_neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.192498683929443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chr1_10011354to10011695_neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6182379722595215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6182379722595215,0.0,4.462584018707275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chr1_10020064to10020281_neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929656505584717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929656505584717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chr1_10035405to10035839_pos,4.322051525115967,0.0,10.631173133850098,12.63428831100464,4.460573196411133,0.0,0.0,0.0,0.0,0.0,4.113387584686279,4.113387584686279,0.0,0.0,0.0,0.0,10.753148078918455,0.0,0.0,0.0,0.0,6.292574882507324,0.0,0.0,4.113387584686279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3817458152771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54116153717041,0.0,4.867207050323486,0.0,0.0,4.462584018707275,0.0,0.0,4.458864688873291,0.0,8.703797340393066,0.0,0.0,0.0,0.0,4.867207050323486,0.0,0.0,5.009554862976074,0.0,0.0,1
Chr1_10046340to10046986_pos,0.0,0.0,0.0,0.0,0.0,0.0,4.543254375457764,0.0,4.378430366516113,0.0,4.113387584686279,4.113387584686279,0.0,0.0,5.169612407684326,0.0,0.0,4.330639839172363,0.0,10.408970355987549,0.0,5.646410942077637,0.0,4.921737194061279,4.113387584686279,0.0,0.0,0.0,0.0,5.383533477783203,0.0,5.169612407684326,0.0,3.868576765060425,0.0,9.26384210586548,0.0,0.0,4.187121391296387,0.0,0.0,5.169612407684326,0.0,0.0,0.0,0.0,19.79763889312744,0.0,0.0,0.0,10.163443088531494,0.0,0.0,5.025436878204346,5.025436878204346,0.0,0.0,0.0,0.0,0.0,3.821695327758789,0.0,0.0,5.009554862976074,0.0,0.0,1
Chr1_1005153to1005386_neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.159257411956787,0.0,0.0,5.159257411956787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.159257411956787,0.0,0.0,3.868576765060425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.462584018707275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821695327758789,0.0,0.0,0.0,0.0,0.0,0
Chr1_10052918to10053180_neg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chr1_10053015to10053430_pos,4.322051525115967,0.0,0.0,0.0,0.0,4.787610530853272,4.543254375457764,0.0,0.0,0.0,0.0,0.0,0.0,4.787610530853272,0.0,0.0,0.0,0.0,0.0,5.383533477783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.383533477783203,0.0,0.0,0.0,0.0,0.0,0.0,4.3817458152771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.682912826538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.703797340393066,0.0,0.0,0.0,0.0,0.0,4.699748516082764,0.0,0.0,0.0,0.0,1
Chr1_10055636to10055911_pos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330639839172363,0.0,5.025436878204346,0.0,4.192498683929443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.868576765060425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.025436878204346,0.0,4.861024379730225,0.0,5.025436878204346,0.0,0.0,5.025436878204346,5.025436878204346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Chr1_10057702to10058092_pos,4.322051525115967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.378430366516113,0.0,4.113387584686279,4.113387584686279,0.0,0.0,0.0,0.0,0.0,4.330639839172363,0.0,0.0,0.0,0.0,0.0,0.0,4.113387584686279,0.0,0.0,0.0,0.0,0.0,0.0,4.8281569480896,0.0,0.0,0.0,5.076720714569092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066147327423096,0.0,0.0,0.0,0.0,0.0,4.688156127929688,5.138006210327148,0.0,0.0,0.0,0.0,4.322051525115967,0.0,0.0,4.338296413421631,0.0,0.0,0.0,0.0,0.0,4.30891752243042,0.0,1
